location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-07-06 00:00:00 +0200;Monday;20143;17;rain;
Holstenstraße (Mitte), Kiel;2020-07-07 00:00:00 +0200;Tuesday;20188;17;rain;
Holstenstraße (Mitte), Kiel;2020-07-08 00:00:00 +0200;Wednesday;20727;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-09 00:00:00 +0200;Thursday;16123;15;rain;
Holstenstraße (Mitte), Kiel;2020-07-10 00:00:00 +0200;Friday;13583;16;rain;
Holstenstraße (Mitte), Kiel;2020-07-11 00:00:00 +0200;Saturday;23267;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-12 00:00:00 +0200;Sunday;6962;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-07-13 00:00:00 +0200;Monday;22411;21;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-14 00:00:00 +0200;Tuesday;19642;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-15 00:00:00 +0200;Wednesday;23243;19;rain;
Holstenstraße (Mitte), Kiel;2020-07-16 00:00:00 +0200;Thursday;21917;20;clear-day;
Holstenstraße (Mitte), Kiel;2020-07-17 00:00:00 +0200;Friday;20464;23;clear-day;
Holstenstraße (Mitte), Kiel;2020-07-18 00:00:00 +0200;Saturday;21193;24;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-19 00:00:00 +0200;Sunday;6722;26;rain;
Holstenstraße (Mitte), Kiel;2020-07-20 00:00:00 +0200;Monday;25959;20;rain;
Holstenstraße (Mitte), Kiel;2020-07-21 00:00:00 +0200;Tuesday;23601;19;rain;
Holstenstraße (Mitte), Kiel;2020-07-22 00:00:00 +0200;Wednesday;22520;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-23 00:00:00 +0200;Thursday;22460;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-24 00:00:00 +0200;Friday;21999;22;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-25 00:00:00 +0200;Saturday;23274;23;rain;
