location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-05-06 00:00:00 +0200;Wednesday;0;6;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-06 01:00:00 +0200;Wednesday;13;5;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-06 02:00:00 +0200;Wednesday;11;5;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-06 03:00:00 +0200;Wednesday;3;4;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-06 04:00:00 +0200;Wednesday;16;4;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-06 05:00:00 +0200;Wednesday;47;4;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-06 06:00:00 +0200;Wednesday;102;4;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-06 07:00:00 +0200;Wednesday;196;4;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-06 08:00:00 +0200;Wednesday;297;6;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-06 09:00:00 +0200;Wednesday;443;8;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-06 10:00:00 +0200;Wednesday;750;9;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-06 11:00:00 +0200;Wednesday;948;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 12:00:00 +0200;Wednesday;1270;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 13:00:00 +0200;Wednesday;1358;13;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 14:00:00 +0200;Wednesday;1254;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 15:00:00 +0200;Wednesday;1338;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 16:00:00 +0200;Wednesday;1283;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 17:00:00 +0200;Wednesday;1080;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 18:00:00 +0200;Wednesday;654;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 19:00:00 +0200;Wednesday;225;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 20:00:00 +0200;Wednesday;96;10;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-06 21:00:00 +0200;Wednesday;57;9;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-06 22:00:00 +0200;Wednesday;30;8;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-06 23:00:00 +0200;Wednesday;15;7;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 00:00:00 +0200;Thursday;14;7;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 01:00:00 +0200;Thursday;7;6;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 02:00:00 +0200;Thursday;7;6;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 03:00:00 +0200;Thursday;4;7;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 04:00:00 +0200;Thursday;14;6;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 05:00:00 +0200;Thursday;42;6;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 06:00:00 +0200;Thursday;90;7;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 07:00:00 +0200;Thursday;171;7;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 08:00:00 +0200;Thursday;283;8;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 09:00:00 +0200;Thursday;405;9;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 10:00:00 +0200;Thursday;753;10;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 11:00:00 +0200;Thursday;991;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 12:00:00 +0200;Thursday;1177;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 13:00:00 +0200;Thursday;1407;13;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 14:00:00 +0200;Thursday;1391;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-07 15:00:00 +0200;Thursday;1369;15;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 16:00:00 +0200;Thursday;1363;15;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 17:00:00 +0200;Thursday;1091;14;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 18:00:00 +0200;Thursday;688;14;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 19:00:00 +0200;Thursday;283;13;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 20:00:00 +0200;Thursday;127;12;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 21:00:00 +0200;Thursday;74;10;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 22:00:00 +0200;Thursday;16;9;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-07 23:00:00 +0200;Thursday;17;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-05-08 00:00:00 +0200;Friday;9;6;cloudy;
Holstenstraße (Mitte), Kiel;2020-05-08 01:00:00 +0200;Friday;9;5;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-08 02:00:00 +0200;Friday;8;4;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-08 03:00:00 +0200;Friday;8;3;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-08 04:00:00 +0200;Friday;11;3;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-08 05:00:00 +0200;Friday;36;3;clear-night;
Holstenstraße (Mitte), Kiel;2020-05-08 06:00:00 +0200;Friday;99;3;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 07:00:00 +0200;Friday;190;4;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 08:00:00 +0200;Friday;250;6;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 09:00:00 +0200;Friday;433;8;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 10:00:00 +0200;Friday;798;10;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 11:00:00 +0200;Friday;983;13;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 12:00:00 +0200;Friday;1219;15;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 13:00:00 +0200;Friday;1199;16;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 14:00:00 +0200;Friday;1279;17;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 15:00:00 +0200;Friday;1417;18;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-08 16:00:00 +0200;Friday;1326;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 17:00:00 +0200;Friday;1250;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 18:00:00 +0200;Friday;778;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 19:00:00 +0200;Friday;315;16;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 20:00:00 +0200;Friday;145;15;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 21:00:00 +0200;Friday;82;13;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-08 22:00:00 +0200;Friday;61;11;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-08 23:00:00 +0200;Friday;31;10;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 00:00:00 +0200;Saturday;13;9;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 01:00:00 +0200;Saturday;22;9;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 02:00:00 +0200;Saturday;15;8;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 03:00:00 +0200;Saturday;17;8;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 04:00:00 +0200;Saturday;12;8;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 05:00:00 +0200;Saturday;15;8;partly-cloudy-night;
Holstenstraße (Mitte), Kiel;2020-05-09 06:00:00 +0200;Saturday;18;9;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 07:00:00 +0200;Saturday;26;10;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 08:00:00 +0200;Saturday;93;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 09:00:00 +0200;Saturday;228;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 10:00:00 +0200;Saturday;725;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 11:00:00 +0200;Saturday;1200;16;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 12:00:00 +0200;Saturday;1372;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 13:00:00 +0200;Saturday;1598;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 14:00:00 +0200;Saturday;1988;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 15:00:00 +0200;Saturday;2157;19;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 16:00:00 +0200;Saturday;1702;19;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-09 17:00:00 +0200;Saturday;1397;18;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-09 18:00:00 +0200;Saturday;669;18;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-09 19:00:00 +0200;Saturday;280;18;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-09 20:00:00 +0200;Saturday;98;17;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-09 21:00:00 +0200;Saturday;54;16;clear-day;
